Comparison	Scaffold Name  	Site Position  	Sense 	Gene Accession	 Gene Name 	 MolecularFunction	 BiologicalProcess
AA_AH	LS068114.1	6322	+	O30931	Deoxyuridine 5'-triphosphate nucleotidohydrolase {ECO:0000255|HAMAP-Rule:MF_00116}	  F:dUTP diphosphatase activity; F:magnesium ion binding;	  P:dUMP biosynthetic process; P:dUTP catabolic process;
AA_AH	LS274951.1	141	+	A7M7B9 A0ZT94 F1NQP6	Endonuclease III-like protein 1 {ECO:0000255|HAMAP-Rule:MF_03183}	"  F:4 iron, 4 sulfur cluster binding; F:class I DNA-(apurinic or apyrimidinic site) endonuclease activity; F:DNA-(apurinic or apyrimidinic site) endonuclease activity; F:double-stranded DNA binding; F:metal ion binding; F:oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity;"	"  P:base-excision repair, AP site formation; P:nucleotide-excision repair, DNA incision, 5'-to lesion;"
AA_AH	LS328870.1	810	+	P04323	Retrovirus-related Pol polyprotein from transposon 17.6	  F:aspartic-type endopeptidase activity; F:endonuclease activity; F:nucleic acid binding; F:RNA-directed DNA polymerase activity;	  P:DNA integration;
AA_HH	LS042748.1	7742	+	Q91V01 B1B362 O35131 Q8BNH6	Lysophospholipid acyltransferase 5	  F:1-acylglycerophosphocholine O-acyltransferase activity;	  P:phospholipid biosynthetic process; P:regulation of plasma lipoprotein particle levels;
AA_HH	LS042748.1	7742	+	Q91V01 B1B362 O35131 Q8BNH6	Lysophospholipid acyltransferase 5	  F:1-acylglycerophosphocholine O-acyltransferase activity;	  P:phospholipid biosynthetic process; P:regulation of plasma lipoprotein particle levels;
AA_HH	LS043541.1	2223	+	Q87040	Pro-Pol polyprotein	  F:aspartic-type endopeptidase activity; F:DNA-directed DNA polymerase activity; F:metal ion binding; F:RNA binding; F:RNA-directed DNA polymerase activity; F:RNA-DNA hybrid ribonuclease activity;	  P:DNA integration; P:DNA recombination; P:establishment of integrated proviral latency; P:viral entry into host cell; P:viral genome integration into host DNA; P:viral penetration into host nucleus;
AA_HH	LS043710.1	571	-	Q9HDB9	Endogenous retrovirus group K member 5 Gag polyprotein	  F:nucleic acid binding; F:structural molecule activity; F:zinc ion binding;	  P:viral process;
AA_HH	LS046185.1	8259	-	O73798	Insulin-like growth factor 1 receptor	  F:ATP binding; F:insulin receptor substrate binding; F:insulin-like growth factor binding; F:insulin-like growth factor-activated receptor activity; F:metal ion binding; F:phosphatidylinositol 3-kinase binding; F:protein tyrosine kinase activity;	  P:insulin-like growth factor receptor signaling pathway; P:multicellular organism development; P:oocyte maturation; P:protein autophosphorylation; P:protein tetramerization;
AA_HH	LS049748.1	4514	+	O55092	STE20-like serine/threonine-protein kinase	  F:ATP binding; F:protein homodimerization activity; F:protein serine/threonine kinase activity;	  P:apoptotic process; P:protein autophosphorylation; P:regulation of cell migration; P:regulation of focal adhesion assembly;
AA_HH	LS051669.1	9015	-	Q95SX7	Probable RNA-directed DNA polymerase from transposon BS	  F:RNA-directed DNA polymerase activity;	"  P:transposition, DNA-mediated;"
AA_HH	LS051669.1	9015	-	Q95SX7	Probable RNA-directed DNA polymerase from transposon BS	  F:RNA-directed DNA polymerase activity;	"  P:transposition, DNA-mediated;"
AA_HH	LS051669.1	9015	-	Q95SX7	Probable RNA-directed DNA polymerase from transposon BS	  F:RNA-directed DNA polymerase activity;	"  P:transposition, DNA-mediated;"
AA_HH	LS051734.1	5459	+	O30931	Deoxyuridine 5'-triphosphate nucleotidohydrolase {ECO:0000255|HAMAP-Rule:MF_00116}	  F:dUTP diphosphatase activity; F:magnesium ion binding;	  P:dUMP biosynthetic process; P:dUTP catabolic process;
AA_HH	LS062329.1	6106	+	Q0P5D3	G1/S-specific cyclin-D2	  F:cyclin-dependent protein serine/threonine kinase regulator activity; F:protein kinase binding;	  P:adult locomotory behavior; P:cell division; P:cellular response to X-ray; P:long-term memory; P:mitotic cell cycle phase transition; P:positive regulation of G1/S transition of mitotic cell cycle; P:protein phosphorylation; P:regulation of cyclin-dependent protein serine/threonine kinase activity;
AA_HH	LS062329.1	6106	+	Q0P5D3	G1/S-specific cyclin-D2	  F:cyclin-dependent protein serine/threonine kinase regulator activity; F:protein kinase binding;	  P:adult locomotory behavior; P:cell division; P:cellular response to X-ray; P:long-term memory; P:mitotic cell cycle phase transition; P:positive regulation of G1/S transition of mitotic cell cycle; P:protein phosphorylation; P:regulation of cyclin-dependent protein serine/threonine kinase activity;
AA_HH	LS070286.1	6277	+	O97972	Indolethylamine N-methyltransferase	  F:amine N-methyltransferase activity; F:S-adenosyl-L-methionine:beta-alanine N-methyltransferase activity; F:thioether S-methyltransferase activity;	  P:amine metabolic process; P:methylation; P:response to toxic substance;
AA_HH	LS070286.1	6277	+	O97972	Indolethylamine N-methyltransferase	  F:amine N-methyltransferase activity; F:S-adenosyl-L-methionine:beta-alanine N-methyltransferase activity; F:thioether S-methyltransferase activity;	  P:amine metabolic process; P:methylation; P:response to toxic substance;
AA_HH	LS148351.1	2003	-	P04323	Retrovirus-related Pol polyprotein from transposon 17.6	  F:aspartic-type endopeptidase activity; F:endonuclease activity; F:nucleic acid binding; F:RNA-directed DNA polymerase activity;	  P:DNA integration;
AA_HH	LS203364.1	253	+	Q8I7P9	Retrovirus-related Pol polyprotein from transposon opus	  F:endonuclease activity; F:nucleic acid binding; F:peptidase activity; F:RNA-directed DNA polymerase activity;	"  P:DNA integration; P:transposition, DNA-mediated;"
AA_HH	LS226733.1	658	-	B9L823	Deoxyuridine 5'-triphosphate nucleotidohydrolase {ECO:0000255|HAMAP-Rule:MF_00116}	  F:dUTP diphosphatase activity; F:magnesium ion binding;	  P:dUMP biosynthetic process; P:dUTP catabolic process;
AA_HH	LS226733.1	658	-	Q9J5G5	Deoxyuridine 5'-triphosphate nucleotidohydrolase	  F:dUTP diphosphatase activity; F:magnesium ion binding;	  P:dUMP biosynthetic process; P:dUTP catabolic process;
AA_HH	LS241916.1	1021	+	A4FUB7	Gypsy retrotransposon integrase-like protein 1	  F:nucleic acid binding;	  P:DNA integration;
AA_HH	LS243346.1	778	+	A4FUB7	Gypsy retrotransposon integrase-like protein 1	  F:nucleic acid binding;	  P:DNA integration;
